,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM/,3PA,3P%
395,Miller Kopp,OKC,26,1,1,0,14.4,3,1,2,50,1,1,100
396,Ousmane Dieng,OKC,22,5,4,1,130.2,55,19,45,42.2,8,24,33.3
397,Shai Gilgeous-Alexander,OKC,26,3,2,1,58.2,40,13,21,61.9,7,11,63.6
398,Alex Morales,ORL,27,1,1,0,4,2,1,1,100,0,0,0
399,Anthony Black,ORL,21,3,1,2,59.9,28,9,16,56.3,3,6,50
400,Caleb Houstan,ORL,22,3,1,2,30.8,3,1,7,14.3,1,7,14.3
401,Cory Joseph,ORL,33,1,0,1,8.2,9,3,4,75,1,1,100
402,Desmond Bane,ORL,27,4,2,2,95.7,70,29,56,51.8,9,24,37.5
403,Ethan Thompson,ORL,26,2,1,1,17.9,2,1,7,14.3,0,4,0
404,Franz Wagner,ORL,23,3,1,2,61.9,22,8,27,29.6,0,7,0
405,Gary Harris,ORL,30,2,1,1,29.8,12,4,5,80,3,3,100
406,Goga Bitadze,ORL,25,3,1,2,43.2,21,10,17,58.8,1,2,50
407,Jalen Slawson,ORL,25,3,1,2,20.4,4,1,6,16.7,0,1,0
408,Jalen Suggs,ORL,24,3,1,2,63.3,31,9,26,34.6,4,18,22.2
409,Jarrett Culver,ORL,26,2,1,1,17.9,11,4,8,50,1,2,50
410,Javonte Smart,ORL,26,1,0,1,6.2,3,1,2,50,1,2,50
411,Jett Howard,ORL,21,3,1,2,57.4,35,11,22,50,7,17,41.2
412,Jonathan Isaac,ORL,27,2,1,1,15.3,8,3,4,75,2,2,100
413,Mac McClung,ORL,26,2,1,1,14.9,8,3,6,50,1,3,33.3
414,Moritz Wagner,ORL,28,3,1,2,39.5,12,3,7,42.9,1,2,50
415,Paolo Banchero,ORL,22,3,1,2,63.5,42,16,26,61.5,2,4,50
416,Trevelin Queen,ORL,28,2,0,2,11.6,5,2,6,33.3,0,3,0
417,Tristan da Silva,ORL,24,3,1,2,42.5,17,6,13,46.2,2,6,33.3
418,Wendell Carter Jr.,ORL,26,2,1,1,40.9,14,7,11,63.6,0,4,0
419,Adem Bona,PHI,22,6,3,3,64.7,14,6,10,60,0,0,0
420,Alex Reese,PHI,26,3,2,1,26,7,2,6,33.3,1,5,20
421,Andre Drummond,PHI,31,5,3,2,102.1,45,20,36,55.6,1,4,25
422,Eric Gordon,PHI,36,5,3,2,63.4,25,9,25,36,6,14,42.9
423,Guerschon Yabusele,PHI,29,6,3,3,107.2,54,19,33,57.6,8,18,44.4
424,Isaiah Mobley,PHI,25,3,2,1,12.3,5,1,3,33.3,1,2,50
425,Jalen Hood-Schifino,PHI,22,6,2,4,118.7,27,12,42,28.6,1,10,10
426,Jared Butler,PHI,24,5,2,3,71.6,34,15,28,53.6,2,4,50
427,Jared McCain,PHI,21,5,3,2,114,64,24,60,40,11,29,37.9
428,Jeff Dowtin Jr.,PHI,28,6,3,3,90.3,35,14,32,43.8,3,13,23.1
429,Jordan Tucker,PHI,27,4,2,2,27.1,11,3,10,30,3,9,33.3
430,Judah Mintz,PHI,21,3,2,1,23.1,8,2,8,25,0,1,0
431,Justin Edwards,PHI,21,6,3,3,78.5,29,11,27,40.7,1,13,7.7
432,Kelly Oubre Jr.,PHI,29,5,3,2,105.7,71,23,43,53.5,6,20,30
433,Kyle Lowry,PHI,39,4,2,2,53.5,12,3,15,20,1,8,12.5
434,Lonnie Walker IV,PHI,26,4,4,0,65.5,29,12,28,42.9,5,16,31.3
435,Max Fiedler,PHI,24,3,2,1,16.8,5,2,3,66.7,0,1,0
436,Paul George,PHI,35,2,1,1,38.7,31,11,20,55,5,10,50
437,Quentin Grimes,PHI,25,4,1,3,80.1,34,12,31,38.7,4,16,25
438,Reggie Jackson,PHI,35,5,3,2,47.7,24,9,21,42.9,4,12,33.3
439,Ricky Council IV,PHI,23,6,3,3,114.2,54,15,42,35.7,7,23,30.4
440,Tyrese Maxey,PHI,24,5,3,2,86.4,57,19,47,40.4,11,26,42.3
441,Bol Bol,PHX,25,5,3,2,83.3,24,9,22,40.9,5,12,41.7
442,Bradley Beal,PHX,32,4,2,2,88.2,53,18,46,39.1,6,19,31.6
443,Cody Martin,PHX,29,1,0,1,8.3,5,2,3,66.7,1,2,50
444,Collin Gillespie,PHX,26,5,3,2,64.3,45,14,27,51.9,6,14,42.9
445,Damion Lee,PHX,32,4,3,1,41.3,15,6,21,28.6,3,12,25
446,Devin Booker,PHX,28,3,2,1,64.4,44,16,43,37.2,6,19,31.6
447,Frank Kaminsky,PHX,32,4,3,1,38.7,19,6,14,42.9,3,10,30
448,Grayson Allen,PHX,29,1,1,0,21.3,7,2,7,28.6,1,4,25
449,Jalen Bridges,PHX,24,5,3,2,38.2,5,1,18,5.6,1,14,7.1
450,Kevin Durant,PHX,36,4,2,2,88.5,64,26,47,55.3,7,18,38.9
451,Mamadi Diakite,PHX,28,3,2,1,20,7,3,6,50,1,3,33.3
452,Mason Plumlee,PHX,35,5,3,2,78.6,23,8,16,50,0,0,0
453,Monte Morris,PHX,30,5,3,2,84.7,41,15,31,48.4,6,15,40
454,Moses Wood,PHX,26,2,1,1,5.3,2,1,2,50,0,1,0
455,Nick Richards,PHX,27,5,2,3,89,35,13,21,61.9,0,0,0
456,Oso Ighodaro,PHX,22,5,3,2,121.7,28,14,25,56,0,1,0
457,Royce O'Neale,PHX,32,5,3,2,84.4,42,16,32,50,7,21,33.3
458,Ryan Dunn,PHX,22,5,3,2,111.7,47,15,38,39.5,13,30,43.3
459,TyTy Washington Jr.,PHX,23,4,2,2,43.1,16,6,15,40,1,4,25
460,Tyus Jones,PHX,29,4,2,2,87.5,38,15,24,62.5,8,13,61.5
461,Vasilije Micic,PHX,31,4,2,2,58.8,17,7,17,41.2,1,6,16.7
462,Anfernee Simons,POR,26,1,1,0,20.7,11,4,10,40,1,5,20
463,Bryce McGowens,POR,22,3,3,0,12,4,1,5,20,0,2,0
464,Dalano Banton,POR,25,4,3,1,79.5,38,13,28,46.4,4,15,26.7
465,Deandre Ayton,POR,26,3,2,1,53,32,14,21,66.7,3,4,75
466,Deni Avdija,POR,24,3,3,0,63.9,33,11,26,42.3,2,8,25
467,Devonte' Graham,POR,30,2,1,1,26.3,2,0,5,0,0,4,0
468,Donovan Clingan,POR,21,4,3,1,82,35,17,33,51.5,1,5,20
469,Duop Reath,POR,29,4,3,1,56.1,24,9,26,34.6,6,17,35.3
470,Jabari Walker,POR,22,2,1,1,41.1,18,7,13,53.8,3,4,75
471,Jerami Grant,POR,31,3,2,1,55.4,42,14,25,56,6,9,66.7
472,Justin Minaya,POR,26,3,3,0,35.2,5,2,8,25,1,6,16.7
473,Kris Murray,POR,24,4,3,1,91.8,39,15,28,53.6,5,13,38.5
474,Rayan Rupert,POR,21,4,3,1,104.5,40,17,35,48.6,2,14,14.3
475,Scoot Henderson,POR,21,4,3,1,111.4,59,21,56,37.5,3,17,17.6
476,Sidy Cissoko,POR,21,4,2,2,68.3,25,10,13,76.9,2,4,50
477,Taze Moore,POR,27,3,3,0,15.7,2,1,4,25,0,1,0
478,Toumani Camara,POR,25,4,3,1,111.3,55,16,38,42.1,4,10,40
479,Boogie Ellis,SAC,24,3,0,3,38.4,27,10,24,41.7,7,18,38.9
480,Brodric Thomas,SAC,28,3,0,3,12.3,5,1,1,100,1,1,100
481,DeMar DeRozan,SAC,35,5,0,5,132.5,65,25,53,47.2,3,7,42.9
482,Domantas Sabonis,SAC,29,5,0,5,135.7,86,32,62,51.6,1,11,9.1
483,Doug McDermott,SAC,33,1,0,1,25.2,14,5,13,38.5,4,11,36.4
484,Isaac Jones,SAC,24,5,0,5,61.7,20,8,20,40,0,7,0
485,Isaiah Crawford,SAC,23,4,0,4,44.5,10,4,13,30.8,2,6,33.3
486,Jake LaRavia,SAC,23,5,3,2,108.9,46,13,39,33.3,4,17,23.5
487,Jalen McDaniels,SAC,27,2,0,2,25.1,6,2,9,22.2,0,5,0
488,Jonas Valančiūnas,SAC,33,4,2,2,72,26,8,18,44.4,0,2,0
489,Keegan Murray,SAC,24,5,0,5,137.2,67,26,57,45.6,7,27,25.9
490,Keon Ellis,SAC,25,5,0,5,114,39,15,33,45.5,5,17,29.4
491,Malik Monk,SAC,27,3,0,3,59.2,26,9,29,31,2,14,14.3
492,Mason Jones,SAC,26,5,0,5,64,18,6,21,28.6,3,15,20
493,Skal Labissiere,SAC,29,3,0,3,14.3,4,1,4,25,0,2,0
494,Terry Taylor,SAC,25,3,0,3,14.8,0,0,4,0,0,2,0
495,Zach LaVine,SAC,30,4,3,1,99.9,72,24,45,53.3,11,22,50
496,Blake Wesley,SAS,22,5,2,3,96.8,19,8,21,38.1,1,7,14.3
497,Charles Bassey,SAS,24,2,0,2,23.8,14,7,10,70,0,0,0
498,Chris Paul,SAS,40,3,2,1,75,21,8,18,44.4,5,10,50
499,David Duke Jr.,SAS,25,1,0,1,9.1,2,1,2,50,0,1,0
500,De'Aaron Fox,SAS,27,4,0,4,109,63,25,55,45.5,7,22,31.8
501,Harrison Barnes,SAS,33,5,2,3,117.3,38,11,30,36.7,6,18,33.3
502,Harrison Ingram,SAS,22,3,2,1,23.6,4,2,5,40,0,3,0
503,Jeremy Sochan,SAS,22,4,2,2,94.5,54,25,38,65.8,1,3,33.3
504,Jordan McLaughlin,SAS,29,3,0,3,66.5,22,9,21,42.9,3,11,27.3
505,Julian Champagnie,SAS,24,5,2,3,103,62,20,47,42.6,16,38,42.1
506,Keldon Johnson,SAS,25,3,1,2,68.2,43,18,29,62.1,1,4,25
507,Malachi Flynn,SAS,27,4,2,2,24.7,15,4,9,44.4,1,4,25
508,Malaki Branham,SAS,22,4,1,3,74,53,20,51,39.2,5,23,21.7
509,Nathan Mensah,SAS,27,1,0,1,3.5,0,0,2,0,0,0,0
510,Riley Minix,SAS,24,3,2,1,23.3,23,8,12,66.7,4,7,57.1
511,Sandro Mamukelashvili,SAS,26,5,2,3,75.7,48,15,31,48.4,12,22,54.5
512,Stephon Castle,SAS,20,5,2,3,105.3,55,17,38,44.7,4,16,25
